ra,dec,SPECOBJID,Z_SDSS_PIPELINE,objID,dered_u,dered_g,dered_r,dered_i,dered_z,run,camcol,field,CONFIDENCE,ZWARNING
148.16878,28.404216,b'  12776736473673390080',2.1402235,1.23767E+18,21.73647,21.56484,21.4504,21.27702,20.94032,4576,2,235,0.923644543,4
180.49707,33.225493,b'   5191669699990280192',1.3337353,1.23767E+18,22.47912,21.80285,21.78945,21.59875,22.04318,4599,5,76,0.966139674,4
173.72317,31.171642,b'   7246311148647372800',2.080008,1.23767E+18,24.63861,21.87006,22.16666,21.65439,21.69083,4623,2,106,0.969895542,4
228.60587,22.307905,b'   4453074964313298944',1.1492171,1.23767E+18,25.0554,21.74836,21.67545,21.42724,21.06564,4649,3,291,0.959537864,4
356.59289,32.4618,b'   8035569185773082624',4.439749,1.23767E+18,22.1451,20.40851,20.06619,19.77878,20.38606,4822,3,503,0.958082259,4
283.52188,18.057923,b'   3189701177256208384',1.9815683,1.23767E+18,21.1896,19.09092,18.6619,19.75243,18.33897,4828,2,235,0.933513463,4
322.31381,-3.2809338,b'   4936013463745222656',2.236445,1.23767E+18,22.14736,21.4762,21.40578,21.552,20.95889,4832,4,510,0.932513297,4
353.89702,25.52693,b'   7098977693392459776',1.4512669,1.23767E+18,22.75802,21.73595,21.74228,21.70688,22.09332,4836,6,329,0.998174787,4
47.027259,-0.93517534,b'   1327508052420618240',1.0492091,1.23767E+18,18.49037,16.7264,15.94963,15.58775,15.32355,4849,1,769,0.926776767,4
46.647002,1.1997204,b'    903142737748977664',3.1557992,1.23767E+18,22.36408,21.09985,20.82747,20.61765,21.39323,4849,6,766,0.939223588,4
47.761058,1.1663082,b'   1327575947263633408',4.2781916,1.23767E+18,19.53444,16.54736,15.79147,15.36041,15.21219,4849,6,773,0.971387625,4
345.50812,-0.1213348,b'   4737922689553160192',1.252409,1.23767E+18,21.87305,20.71846,20.51937,20.39802,20.3712,4874,3,324,0.928594172,4
36.734032,0.3406738,b'   7633793893272934400',1.5401399,1.23767E+18,23.30575,21.8921,21.59264,21.50471,21.81093,4874,4,666,0.951722741,4
332.4201,20.888531,b'   8528965964158752768',1.537756,1.23767E+18,24.35542,20.52352,21.002,20.48856,22.81086,4880,2,34,0.993705213,4
