specObjId,ra,dec,run,camcol,field,z,zErr,interval,objID,class,clean,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,SDSS16,Z,u_extinction,g_extinction,r_extinction,i_extinction,z_extinction,u,g,r,i,label,u-g,g-r,r-i,i-z
5.743403840758354e+17,168.49302,2.8926822,1462,5,288,19.79340242652644,0.0003663708,"(4.75, 5.0]",1237651754542170737,6,True,25.158,24.674,21.512,19.743,19.833,0.969,0.623,0.089,0.031,0.106,SDSS J111358.32+025333.6,4.881063,0.2029161098675494,0.1588873863402683,0.1083914913843682,0.0803928700646201,0.0595975734735569,24.91508389013245,24.51511261365973,21.40360850861564,19.662607129935378,0,0.39997127647271924,3.111504105044091,1.741001378680263,-0.1307952965910637
2.0571621255534607e+18,217.5952,6.5456129,3910,4,49,18.40136498773643,0.0004788977,"(4.75, 5.0]",1237662268069576914,6,False,20.204,19.417,18.996,18.581,18.423,0.049,0.012,0.011,0.011,0.034,SDSS J143022.84+063244.2,4.907507,0.1417576963357401,0.1109991211595032,0.0757225640244767,0.0561626579063526,0.0416350122635705,20.02224230366426,19.3060008788405,18.92027743597552,18.524837342093647,0,0.7162414248237603,0.38572344286497895,0.3954400938818736,0.1234723543572187
6.067506583688206e+18,181.31897,7.8500522,6781,2,116,20.518912431850385,0.0006777407,"(4.75, 5.0]",1237658424099996303,6,False,25.719,24.92,22.127,20.734,20.517,0.978,0.909,0.182,0.07,0.246,SDSS J120516.55+075100.1,4.908742,0.0615840335766709,0.0482215342176407,0.0328962803850197,0.024398837591634,0.0180875681496129,25.61741596642333,24.87177846578236,22.09410371961497,20.70960116240837,0,0.7456375006409708,2.7776747461673885,1.384502557206602,0.19068873055798363
2.016632764895357e+18,193.4723,10.767554,3031,6,487,19.222663067598766,0.0004020801,"(4.75, 5.0]",1237658493895770312,6,True,25.412,24.417,20.993,19.4,19.23,0.79,0.506,0.042,0.018,0.049,SDSS J125353.35+104603.1,4.926724,0.0930760038583075,0.0728803789590499,0.0497183140209241,0.0368755693631185,0.0273369324012338,25.27892399614169,24.34411962104096,20.94328168597908,19.36312443063688,0,0.9348043751007289,3.4008379350618796,1.5801572553422005,0.14046136303811352
5.590285273114368e+18,240.06764,34.404167,3958,4,70,18.81098940229488,0.0006177725,"(4.75, 5.0]",1237662474229383768,3,True,25.85,21.628,20.206,19.3,18.826,1.099,0.098,0.042,0.026,0.075,SDSS J160016.23+342415.0,4.957025,0.1192030795282984,0.09333840355172,0.0636745873756177,0.0472267957929821,0.0350105977051264,25.690796920471705,21.53466159644828,20.14232541262438,19.252773204207017,0,4.156135324023424,1.3923361838239003,0.8895522084173635,0.4417838019121376
1.1788903658396324e+18,218.78669,48.922537,3180,1,94,19.464971704824457,0.000907298,"(4.75, 5.0]",1237659131135787434,6,True,26.28,25.916,21.157,19.705,19.497,0.379,0.477,0.054,0.023,0.061,SDSS J143508.80+485521.1,4.756042,0.1771444480830395,0.1387076579527145,0.0946250691022737,0.0701824542502039,0.0520282951755422,26.06285555191696,25.77729234204729,21.062374930897725,19.6348175457498,0,0.28556320986967165,4.714917411149564,1.4275573851479244,0.16984584092534405
7.725006941407416e+17,1.9549087,0.6887412,2728,5,426,19.675437280780177,0.0004874199,"(4.75, 5.0]",1237657363760087677,3,False,23.981,24.179,21.252,20.027,19.717,1.693,0.832,0.093,0.047,0.126,SDSS J000749.17+004119.4,4.829303,0.2096069817758143,0.164126473323237,0.1119655476052961,0.0830437113225728,0.0615627192198224,23.73139301822419,24.01487352667676,21.1400344523947,19.943956288677427,0,-0.2834805084525698,2.8748390742820575,1.1960781637172744,0.26851900789725036
1.2708040636286392e+19,354.87247,6.9540859,6354,2,295,18.19989970871634,0.0003659228,"(4.75, 5.0]",1237672763912028253,6,True,20.335,19.407,18.772,18.466,18.382,0.049,0.012,0.01,0.01,0.027,SDSS J233929.39+065714.7,4.845074,0.6881052787925058,0.5388002428473881,0.3675644947385415,0.2726188586251415,0.2021002912836591,19.60689472120749,18.868199757152613,18.404435505261457,18.19338114137486,0,0.7386949640548757,0.4637642518911562,0.21105436388659626,-0.006518567341480264
4.5769748012778353e+18,250.43762,14.685391,4671,3,153,19.098181249749395,0.0005374198,"(4.75, 5.0]",1237665536009634938,3,True,23.778,22.283,20.467,19.547,19.196,1.33,0.154,0.046,0.033,0.104,SDSS J164145.02+144107.4,4.972239,0.4011459037156371,0.3141052931878397,0.2142796981217979,0.158929079290038,0.1178187502506046,23.33685409628436,21.96889470681216,20.2527203018782,19.388070920709964,0,1.3679593894721975,1.7161744049339624,0.8646493811682348,0.2898896709605694
6.591193528013183e+18,189.09597,18.409948,5382,6,52,20.015553293153864,0.0006419659,"(4.75, 5.0]",1237668591335375716,6,True,24.452,24.794,21.543,20.214,20.033,1.103,0.543,0.08,0.038,0.109,SDSS J123623.03+182435.8,4.86042,0.1274974741033759,0.0998330809638249,0.0681051956634954,0.0505129330335104,0.037446706846138,24.284502525896627,24.69416691903617,21.474894804336504,20.16348706696649,0,-0.4096643931395434,3.219272114699667,1.3114077373700148,0.14793377381262474
2.1763857422494208e+18,134.8804,25.338769,4508,2,149,20.02618699718556,0.0006386191,"(4.75, 5.0]",1237664835392832480,6,True,23.168,24.354,21.724,19.909,20.056,0.419,0.428,0.078,0.023,0.078,SDSS J085931.29+252019.5,4.787198,0.1696018841507388,0.1328016790223582,0.0905960654217988,0.0671941830746953,0.0498130028144394,22.95839811584926,24.22119832097764,21.6334039345782,19.841805816925305,0,-1.2628002051283786,2.5877943863994375,1.791598117652896,-0.18438118026025663
5.634138469586721e+18,260.8612,26.348828,1345,2,765,19.55422640481732,0.0005599151,"(4.75, 5.0]",1237651250451646351,6,True,24.816,23.823,21.223,19.75,19.596,0.72,0.266,0.05,0.021,0.062,SDSS J172326.68+262055.7,4.824857,0.2103249662096298,0.1646886695441108,0.1123490726177893,0.0833281679353761,0.0617735951826778,24.56567503379037,23.658311330455888,21.11065092738221,19.666671832064623,0,0.9073637033344824,2.547660403073678,1.4439790953175873,0.11244542724730167
1.277683900313268e+19,145.92991,27.771732,4576,2,222,19.909456209893083,0.0008701329,"(4.75, 5.0]",1237665127455392207,6,True,24.342,21.782,21.277,19.814,19.919,0.921,0.061,0.063,0.027,0.098,SDSS J094343.17+274618.2,4.920464,0.1005898497176013,0.0787638710619003,0.0537319773976404,0.0398524627908808,0.029543790106916,24.201410150282403,21.7032361289381,21.22326802260236,19.77414753720912,0,2.498174021344301,0.47996810633574327,1.4491204853932373,-0.13530867268396207
1.599949999943215e+18,246.62164,28.982662,3723,6,151,19.56935980658453,0.00076374,"(4.75, 5.0]",1237661465991120125,6,True,24.77,25.023,21.344,19.848,19.595,0.835,0.455,0.055,0.024,0.06,SDSS J162629.19+285857.5,4.969847,0.1553944223178558,0.1216769512783196,0.0830068800295799,0.0615653612240075,0.0456401934154681,24.574605577682146,24.90132304872168,21.260993119970426,19.78643463877599,0,-0.3267174710395331,3.640329928751253,1.4745584811944354,0.21707483219146084
